nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
ACTIVO_FAMILIA,ACTIVO_FAMILIA|USDTHB-OTC|CONTINUACIÓN,13,8,5,61.54,1.28,FAVORABLE,BAJA,54.09,37.34,70.84,False,13,,,,,,0,,USDTHB-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|CALL|REACCIÓN_ZONA|TENDENCIA|ALCISTA_NORMAL,13,8,5,61.54,1.28,FAVORABLE,BAJA,54.09,37.34,70.84,False,13,,,,,,0,,LTCUSD-OTC,call,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|ALCISTA_NORMAL+CALL+REACCIÓN_ZONA+TENDENCIA,13,8,5,61.54,1.28,FAVORABLE,BAJA,54.09,37.34,70.84,False,13,,,,,,0,,LTCUSD-OTC,call,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|USDTHB-OTC|REVERSIÓN,13,2,11,15.38,-2.48,DEBIL,BAJA,35.91,19.78,52.03,False,13,,,,,,0,,USDTHB-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|HK33-OTC|REVERSIÓN,12,9,3,75.0,2.26,FAVORABLE,BAJA,58.91,42.12,75.69,False,12,,,,,,0,,HK33-OTC,put,REVERSIÓN,RANGO,ALCISTA_NORMAL,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|EURCAD-OTC|CALL,12,7,5,58.33,0.96,FAVORABLE,BAJA,52.66,35.62,69.69,False,12,,,,,,0,,EURCAD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|CALL|REVERSIÓN_ESTRUCTURAL|TENDENCIA|ALCISTA_NORMAL,11,8,3,72.73,1.96,FAVORABLE,MUY_BAJA,57.58,40.46,74.7,False,11,,,,,,0,,COFFEE-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_NORMAL,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN_ESTRUCTURAL|ALCISTA_NORMAL,11,8,3,72.73,1.96,FAVORABLE,MUY_BAJA,57.58,40.46,74.7,False,11,,,,,,0,,COFFEE-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_NORMAL,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|ALCISTA_NORMAL+CALL+REVERSIÓN_ESTRUCTURAL+TENDENCIA,11,8,3,72.73,1.96,FAVORABLE,MUY_BAJA,57.58,40.46,74.7,False,11,,,,,,0,,COFFEE-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_NORMAL,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|USDSGD-OTC|CALL,11,7,4,63.64,1.29,FAVORABLE,MUY_BAJA,54.35,37.1,71.61,False,11,,,,,,0,,USDSGD-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
