nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|REVERSIÓN|TENDENCIA|INDEFINIDA,51,24,27,47.06,-2.01,DEBIL,ALTA,47.68,36.14,59.21,True,51,64.71,23.53,52.94,41.18,-11.77,1,0.333,NZDCHF-OTC,put,REVERSIÓN,TENDENCIA,INDEFINIDA,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|INDEFINIDA+PUT+REVERSIÓN+TENDENCIA,51,24,27,47.06,-2.01,DEBIL,ALTA,47.68,36.14,59.21,True,51,64.71,23.53,52.94,41.18,-11.77,1,0.333,NZDCHF-OTC,put,REVERSIÓN,TENDENCIA,INDEFINIDA,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|NZDJPY-OTC|REACCIÓN_ZONA,50,30,20,60.0,2.17,FAVORABLE,ALTA,56.93,45.41,68.45,True,50,58.82,70.59,50.0,20.59,-8.82,3,1.0,NZDJPY-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|CONTINUACION+REACCIÓN_ZONA+ZONA_SIN_RUPTURA,49,27,22,55.1,0.0,NEUTRO,MEDIA,53.41,41.72,65.09,True,49,64.71,68.75,31.25,37.5,-33.46,2,0.667,NZDJPY-OTC,put,REACCIÓN_ZONA,RANGO,BAJISTA_DEBIL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|MANAUSD-OTC|REACCIÓN_ZONA,49,23,26,46.94,-2.01,DEBIL,MEDIA,47.61,35.91,59.31,True,49,41.18,50.0,50.0,8.82,8.82,1,0.333,MANAUSD-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|CALL|REVERSIÓN|TENDENCIA|ALCISTA_DEBIL,47,24,23,51.06,0.0,NEUTRO,MEDIA,50.52,38.64,62.41,True,47,56.25,50.0,46.67,9.58,-9.58,2,0.667,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|ALCISTA_DEBIL+CALL+REVERSIÓN+TENDENCIA,47,24,23,51.06,0.0,NEUTRO,MEDIA,50.52,38.64,62.41,True,47,56.25,50.0,46.67,9.58,-9.58,2,0.667,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|LTCUSD-OTC|REACCIÓN_ZONA,47,23,24,48.94,0.0,NEUTRO,MEDIA,49.03,37.15,60.91,True,47,43.75,56.25,46.67,12.5,2.92,2,0.667,LTCUSD-OTC,call,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,,,,
CONTEXTO_SETUP,CONTEXTO_SETUP|PUT|REACCIÓN_ZONA|INDEFINIDO|ZONA_RECHAZO_CONFIRMADO|RANGO,47,18,29,38.3,-3.31,DEBIL,MEDIA,41.57,29.85,53.28,True,47,31.25,43.75,40.0,12.5,8.75,3,1.0,NZDJPY-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|CALL|REVERSIÓN|TENDENCIA|INDEFINIDA,46,21,25,45.65,-2.18,DEBIL,MEDIA,46.74,34.8,58.69,True,46,50.0,53.33,33.33,20.0,-16.67,1,0.333,USDSGD-OTC,call,REVERSIÓN,TENDENCIA,INDEFINIDA,,,,
CONTEXTO_SETUP,CONTEXTO_SETUP|CALL|REVERSIÓN|REVERSION_ALCISTA|SWEEP_SIMPLE|TENDENCIA,46,21,25,45.65,-2.18,DEBIL,MEDIA,46.74,34.8,58.69,True,46,56.25,40.0,40.0,16.25,-16.25,2,0.667,USDSGD-OTC,call,REVERSIÓN,TENDENCIA,INDEFINIDA,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|CALL+INDEFINIDA+REVERSIÓN+TENDENCIA,46,21,25,45.65,-2.18,DEBIL,MEDIA,46.74,34.8,58.69,True,46,50.0,53.33,33.33,20.0,-16.67,1,0.333,USDSGD-OTC,call,REVERSIÓN,TENDENCIA,INDEFINIDA,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REACCIÓN_ZONA|BAJISTA_NORMAL,45,23,22,51.11,0.0,NEUTRO,MEDIA,50.54,38.48,62.6,True,45,46.67,60.0,46.67,13.33,0.0,1,0.333,US2000-OTC,put,REACCIÓN_ZONA,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|REACCIÓN_ZONA|TENDENCIA|BAJISTA_NORMAL,44,23,21,52.27,0.0,NEUTRO,MEDIA,51.33,39.18,63.48,True,44,46.67,60.0,50.0,13.33,3.33,2,0.667,US2000-OTC,put,REACCIÓN_ZONA,TENDENCIA,BAJISTA_NORMAL,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|BAJISTA_NORMAL+PUT+REACCIÓN_ZONA+TENDENCIA,44,23,21,52.27,0.0,NEUTRO,MEDIA,51.33,39.18,63.48,True,44,46.67,60.0,50.0,13.33,3.33,2,0.667,US2000-OTC,put,REACCIÓN_ZONA,TENDENCIA,BAJISTA_NORMAL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSION_ALCISTA+REVERSIÓN+SWEEP_RUPTURA_CONFIRMABLE,44,22,22,50.0,0.0,NEUTRO,MEDIA,49.77,37.61,61.92,True,44,40.0,60.0,50.0,20.0,10.0,2,0.667,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_FUERTE,,,,
