clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,activo,direccion,familia_setup,tipo_mercado,estado_tendencia
USDPHP-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPHP-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
CARDANO-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
MU-OTC|CALL|REVERSIÓN|RANGO|BAJISTA_DEBIL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,MU-OTC,call,REVERSIÓN,RANGO,BAJISTA_DEBIL
HYPE-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,HYPE-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
SNDK-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SNDK-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
SUGAR-OTC|CALL|REVERSIÓN_ESTRUCTURAL|TENDENCIA_ALCISTA|ALCISTA_FUERTE,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA_ALCISTA,ALCISTA_FUERTE
CASINOS-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
USDSEK-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_DEBIL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDSEK-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_DEBIL
CARDANO-OTC|PUT|REVERSIÓN|RANGO|ALCISTA_DEBIL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,put,REVERSIÓN,RANGO,ALCISTA_DEBIL
SNDK-OTC|PUT|REVERSIÓN|RANGO|ALCISTA_DEBIL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SNDK-OTC,put,REVERSIÓN,RANGO,ALCISTA_DEBIL
ONDOUSD-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,put,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
USDPLN-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPLN-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
SNDK-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SNDK-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SUGAR-OTC|PUT|REACCIÓN_ZONA|RANGO|ALCISTA_DEBIL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,put,REACCIÓN_ZONA,RANGO,ALCISTA_DEBIL
USDSEK-OTC|PUT|REVERSIÓN|RANGO|BAJISTA_DEBIL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDSEK-OTC,put,REVERSIÓN,RANGO,BAJISTA_DEBIL
CASINOS-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
CARDANO-OTC|CALL|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_FUERTE,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,call,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_FUERTE
JUPUSD-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_BAJISTA|BAJISTA_NORMAL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,JUPUSD-OTC,put,REACCIÓN_ZONA,TENDENCIA_BAJISTA,BAJISTA_NORMAL
EURGBP-OTC|PUT|REVERSIÓN|RANGO|ALCISTA_DEBIL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,put,REVERSIÓN,RANGO,ALCISTA_DEBIL
EURGBP-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_FUERTE
USDPLN-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPLN-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
USDMYR-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
CASINOS-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
CASINOS-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_DEBIL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_DEBIL
JUPUSD-OTC|CALL|REVERSIÓN|RANGO|ALCISTA_DEBIL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,JUPUSD-OTC,call,REVERSIÓN,RANGO,ALCISTA_DEBIL
USDBDT-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
CARDANO-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_FUERTE
CASINOS-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
EURGBP-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
HYPE-OTC|CALL|REVERSIÓN_ESTRUCTURAL|TENDENCIA_ALCISTA|ALCISTA_FUERTE,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,HYPE-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA_ALCISTA,ALCISTA_FUERTE
USDBDT-OTC|CALL|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,call,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
ONDOUSD-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_AGOTADA,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_AGOTADA
USDSEK-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDSEK-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
USDBDT-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
USDBDT-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
CASINOS-OTC|CALL|REVERSIÓN|RANGO|ALCISTA_DEBIL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,call,REVERSIÓN,RANGO,ALCISTA_DEBIL
SPACEX-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_DEBIL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SpaceX-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_DEBIL
EURGBP-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
RENDERUSD-OTC|CALL|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,1,1,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,RENDERUSD-OTC,call,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
USDPLN-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPLN-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_FUERTE
RENDERUSD-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,RENDERUSD-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
EURGBP-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
USDBDT-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
SUGAR-OTC|CALL|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,call,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
CARDANO-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,put,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
ONDOUSD-OTC|CALL|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,call,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SPACEX-OTC|CALL|REVERSIÓN_ESTRUCTURAL|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SpaceX-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA_ALCISTA,ALCISTA_NORMAL
RENDERUSD-OTC|CALL|REVERSIÓN|RANGO|BAJISTA_DEBIL,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,RENDERUSD-OTC,call,REVERSIÓN,RANGO,BAJISTA_DEBIL
EURGBP-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_DEBIL,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_DEBIL
USDPLN-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPLN-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
USDPLN-OTC|CALL|REVERSIÓN|RANGO|ALCISTA_DEBIL,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPLN-OTC,call,REVERSIÓN,RANGO,ALCISTA_DEBIL
HYPE-OTC|PUT|REVERSIÓN|RANGO|ALCISTA_DEBIL,2,0,2,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,HYPE-OTC,put,REVERSIÓN,RANGO,ALCISTA_DEBIL
SUGAR-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_FUERTE,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,put,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_FUERTE
USDMYR-OTC|CALL|REACCIÓN_ZONA|RANGO|BAJISTA_DEBIL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,call,REACCIÓN_ZONA,RANGO,BAJISTA_DEBIL
SPACEX-OTC|PUT|REACCIÓN_ZONA|RANGO|BAJISTA_DEBIL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SpaceX-OTC,put,REACCIÓN_ZONA,RANGO,BAJISTA_DEBIL
CARDANO-OTC|PUT|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,put,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
USDMYR-OTC|PUT|REVERSIÓN|RANGO|ALCISTA_DEBIL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,put,REVERSIÓN,RANGO,ALCISTA_DEBIL
USDMYR-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
USDMYR-OTC|CALL|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,call,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
RENDERUSD-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,RENDERUSD-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SNDK-OTC|PUT|REVERSIÓN|RANGO|BAJISTA_DEBIL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SNDK-OTC,put,REVERSIÓN,RANGO,BAJISTA_DEBIL
ONDOUSD-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_FUERTE
