nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
CONTEXTO_SETUP,CONTEXTO_SETUP|PUT|REVERSIÓN|SWEEP_BAJISTA|SWEEP_RUPTURA_CONFIRMABLE|TENDENCIA,208,97,111,46.63,-2.23,DEBIL,ALTA,46.86,40.4,53.33,True,208,44.29,49.28,46.38,4.99,2.09,2,0.667,UKOUSD-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSIÓN+SWEEP_ALCISTA+SWEEP_SIMPLE,203,100,103,49.26,0.0,NEUTRO,ALTA,49.26,42.71,55.81,True,203,54.41,50.0,43.28,11.13,-11.13,2,0.667,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSIÓN+SWEEP_BAJISTA+SWEEP_SIMPLE,202,94,108,46.53,-2.24,DEBIL,ALTA,46.78,40.23,53.33,True,202,44.12,53.73,41.79,11.94,-2.33,2,0.667,NZDCHF-OTC,put,REVERSIÓN,TENDENCIA,INDEFINIDA,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|BAJISTA_NORMAL,201,93,108,46.27,-2.29,DEBIL,ALTA,46.54,39.98,53.1,True,201,47.76,46.27,44.78,2.98,-2.98,3,1.0,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA,FAMILIA|CONTINUACIÓN,195,86,109,44.1,-2.65,DEBIL,ALTA,44.58,37.95,51.21,True,195,38.46,47.69,46.15,9.23,7.69,3,1.0,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|CONTINUACIÓN|TENDENCIA,195,86,109,44.1,-2.65,DEBIL,ALTA,44.58,37.95,51.21,True,195,38.46,47.69,46.15,9.23,7.69,3,1.0,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|CALL|REVERSIÓN|RANGO|INDEFINIDA,193,99,94,51.3,0.0,NEUTRO,ALTA,51.1,44.41,57.8,True,193,50.77,54.69,48.44,6.25,-2.33,2,0.667,USDSGD-OTC,call,REVERSIÓN,RANGO,INDEFINIDA,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|CALL+INDEFINIDA+RANGO+REVERSIÓN,193,99,94,51.3,0.0,NEUTRO,ALTA,51.1,44.41,57.8,True,193,50.77,54.69,48.44,6.25,-2.33,2,0.667,USDSGD-OTC,call,REVERSIÓN,RANGO,INDEFINIDA,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|CONTINUACION+CONTINUACIÓN+PULLBACK_GENERICO,191,86,105,45.03,-2.49,DEBIL,ALTA,45.43,38.72,52.13,True,191,40.62,48.44,46.03,7.82,5.41,3,1.0,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|ALCISTA_NORMAL,190,96,94,50.53,0.0,NEUTRO,ALTA,50.4,43.66,57.15,True,190,42.19,52.38,57.14,14.95,14.95,2,0.667,UKOUSD-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
